ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
42U,114,3,3,25.957247683256,3.7527134878838098,mixed,female,1992
42U,12,3,3,23.625331502761327,4.7094554322444875,mixed,female,1992
45U,12,4,3,19.789893913371138,4.664285963197941,mixed,female,1992
45U,114,4,3,21.97297119284671,3.742041063774998,mixed,female,1992
49U,114,3,3,19.136352732652647,3.6861639210226316,mixed,female,1992
49U,12,3,3,16.869757415045946,4.600276520415262,mixed,female,1992
4M,12,4,10,25.779363978665796,4.746000832153239,mixed,female,1992
4M,114,4,10,26.591208993122397,3.7860479142842856,mixed,female,1992
50U,114,4,3,19.41957302310787,3.838511792104499,mixed,female,1992
50U,12,4,3,14.600997550944786,4.803771674987774,mixed,female,1992
51T,12,3,4,19.140300082575337,4.647382285946474,mixed,female,1992
51T,114,3,4,21.18295010172583,3.7372994873128467,mixed,female,1992
58T,12,2,4,20.167041930480536,4.626321999593891,mixed,female,1992
58T,114,2,4,22.368519010072237,3.681311769184568,mixed,female,1992
5I,114,2,15,22.174920864622646,3.691653353220609,mixed,female,1992
5I,12,2,15,21.153558329230485,4.6668674932602,mixed,female,1992
5Q,114,2,8,27.23573592526299,3.7560486761111562,mixed,female,1992
5Q,12,2,8,26.83888671418078,4.6954653863165845,mixed,female,1992
5T,12,2,5,19.660364158584166,4.594321825237013,mixed,female,1992
5T,114,2,5,21.718380150202897,3.665524866022558,mixed,female,1992
5U,114,4,3,25.979264870835074,3.6791348428669695,mixed,female,1992
5U,12,4,3,23.688484971563476,4.617209607768921,mixed,female,1992
5V,12,3,2,17.650472905120616,4.889813196858203,mixed,female,1992
5V,114,3,2,20.92207910187738,3.9014904808606268,mixed,female,1992
6J,12,3,13,26.322133318898597,4.58759458848532,mixed,female,1992
6J,114,3,13,26.869653178257664,3.676890005231257,mixed,female,1992
6R,114,4,6,25.418372747629945,3.6598794819817626,mixed,female,1992
6R,12,4,6,24.783092837216792,4.556952169123101,mixed,female,1992
6S,12,4,5,18.184923834687858,4.675083196847536,mixed,female,1992
6S,114,4,5,20.085066616698843,3.7464056714872305,mixed,female,1992
6W,12,3,2,10.88771119831868,4.668676747325465,mixed,female,1992
6W,114,3,2,14.559199718092687,3.7203370626340573,mixed,female,1992
7G,12,4,17,24.7112593764049,4.8029612103614125,mixed,female,1992
7G,114,4,17,25.271472578898997,3.830126008448644,mixed,female,1992
7I,12,3,14,28.441811342479795,4.682586176489108,mixed,female,1992
7I,114,3,14,28.43758390791865,3.7988768873554357,mixed,female,1992
7U,114,3,3,22.838583409411314,3.686501248663959,mixed,female,1992
7U,12,3,3,21.242358636083033,4.601991865455023,mixed,female,1992
8M,12,3,11,28.14864710340242,4.761199037528173,mixed,female,1992
8M,114,3,11,27.796622459564546,3.812106914524262,mixed,female,1992
8V,114,3,2,16.01075002708008,3.8300375013921024,mixed,female,1992
8V,12,3,2,12.2315469660823,4.782881982071739,mixed,female,1992
9R,114,4,6,25.46332878660571,3.7710473086077534,mixed,female,1992
9R,12,4,6,24.910439270100866,4.687134827112727,mixed,female,1992
9T,12,2,4,26.721194550916827,4.755943743110019,mixed,female,1992
9T,114,2,4,27.441296296328016,3.7864678477655045,mixed,female,1992
9U,114,3,3,21.44356572993796,3.7158912117352325,mixed,female,1992
9U,12,3,3,19.214511138584715,4.66252949071362,mixed,female,1992
10L,114,2,12,27.871565113335997,4.118041964579059,mixed,female,1993
10L,12,2,12,28.103213921227663,4.9034445150575365,mixed,female,1993
10T,114,3,5,26.764060844362913,4.4532328597133155,mixed,female,1993
10T,12,3,5,26.765311874556392,5.330972479469654,mixed,female,1993
11V,114,3,3,17.87585064264455,4.058475409399084,mixed,female,1993
11V,12,3,3,15.889752258849505,4.869461589277867,mixed,female,1993
12P,12,2,9,27.048039216813887,5.106046111260404,mixed,female,1993
12P,114,2,9,27.03508560206632,4.305084192842868,mixed,female,1993
12T,12,5,5,24.81788580689196,4.981222889007269,mixed,female,1993
12T,114,5,5,25.26220151653032,4.1660450709625545,mixed,female,1993
13S,12,3,6,22.798886669962723,5.174546284310959,mixed,female,1993
13S,114,3,6,23.53043749677574,4.32854310569396,mixed,female,1993
14Q,12,4,8,27.43341305550735,5.050116913891994,mixed,female,1993
14Q,114,4,8,27.395592561163575,4.230245215367775,mixed,female,1993
15M,114,2,11,28.257721086880956,4.154025741591776,mixed,female,1993
15M,12,2,11,28.519185966785894,4.976395680149127,mixed,female,1993
15R,12,3,7,22.679846542780776,4.837425929849711,mixed,female,1993
15R,114,3,7,23.27904136847251,4.026022623095169,mixed,female,1993
15T,114,2,6,27.48937675034526,4.203394267559165,mixed,female,1993
15T,12,2,6,27.43190927519003,5.045592451927184,mixed,female,1993
15V,114,2,3,22.767670572650168,4.216265576839403,mixed,female,1993
15V,12,2,3,21.53180503045692,5.041898173710734,mixed,female,1993
16L,12,3,12,33.32583498007273,4.922262852084337,mixed,female,1993
16L,114,3,12,32.44366294916002,4.132445110615495,mixed,female,1993
16M,114,5,11,24.305851739376862,4.271915369390272,mixed,female,1993
16M,12,5,11,24.34717568703081,5.108744226011389,mixed,female,1993
16U,12,4,4,22.658057295289343,5.07443531681779,mixed,female,1993
16U,114,4,4,23.277569429309242,4.230767747830985,mixed,female,1993
17Q,12,3,8,25.378388813821754,4.9925097395785585,mixed,female,1993
17Q,114,3,8,25.738265990863123,4.17854361662341,mixed,female,1993
17U,12,4,5,25.4831833064379,5.019790382555594,mixed,female,1993
17U,114,4,5,25.79674431650515,4.197704617783143,mixed,female,1993
19P,12,4,9,28.61396588770404,5.098345141663616,mixed,female,1993
19P,114,4,9,28.388670440565736,4.2682418151351635,mixed,female,1993
19U,114,3,4,23.913120762695165,4.136993151342747,mixed,female,1993
19U,12,3,4,23.56205337313042,4.9325336679433915,mixed,female,1993
